Sl. No.,Name,Urban Status,State Code,State/                                               Union territory*,District Code,District
2408,Kodinar,N.P.,9,Uttar Pradesh,39,Mahoba
2409,Kodiyal,N.P.,23,Madhya Pradesh,8,Tikamgarh
2410,Kodoli,M,23,Madhya Pradesh,27,West Nimar
2411,Kodumudi,N.P.,9,Uttar Pradesh,53,Gonda
2412,Kodungallur,N.A.C.,21,Orissa,25,Nuapada
2413,Koeripur,N.A.C.,21,Orissa,25,Nuapada
2414,Kohima,C.T.,18,Assam,3,Goalpara
2415,Koilwar,C.T.,19,West Bengal,3,Koch Bihar 
2416,Kokkothamangalam,C.T.,9,Uttar Pradesh,70,Sonbhadra
2417,Kokrajhar,C.T.,20,Jharkhand,12,Dhanbad
2418,Kolachal,N.P.,9,Uttar Pradesh,7,Meerut
2419,Kolaghat,M.C.,6,Haryana,8,Sonipat
2420,Kolappalur,N.P.,22,Chhattisgarh,6,Janjgir-Champa
2421,Kolar,C.T.,19,West Bengal,12,Hugli 
2422,Kolaras,N.A.,20,Jharkhand,17,Pashchimi Singhbhum
2423,Kolasib,N.P.,22,Chhattisgarh,4,Raigarh
2424,Kolathupalayam,T.C.,18,Assam,8,Darrang
2425,Kolathur,M.B.,9,Uttar Pradesh,2,Muzaffarnagar
2426,Kolazhy,C.T.,9,Uttar Pradesh,2,Muzaffarnagar
2427,Kolhapur,N.P.,23,Madhya Pradesh,23,Dewas
2428,Kolkata,C.T.,21,Orissa,28,Nabarangapur
2429,Kollam,M.B.,5,Uttaranchal,12,Udham Singh Nagar
2430,Kollankodu,C.T.,15,Mizoram,4,Champhai
2431,Kollankoil,C.T.,15,Mizoram,4,Champhai
2432,Kollegal,C.T.,27,Maharashtra,31,Satara
2433,Kolvi Mandi Rajendra pura,M.Cl.,27,Maharashtra,32,Ratnagiri
2434,Komalapuram,M,24,Gujarat,16,Kheda
2435,Komaralingam,M,24,Gujarat,5,Sabar Kantha
2436,Kombai,N.P.,9,Uttar Pradesh,8,Baghpat
2437,Kon,C.T.,20,Jharkhand,14,Ranchi
2438,Konanakunte,N.P.,3,Punjab,2,Amritsar
2439,Konardihi,C.T.,7,Delhi *,1,North West
2440,Konark,N.P.,9,Uttar Pradesh,15,Agra
2441,Konavattam,M,24,Gujarat,4,Mahesana
2442,Konch,C.T.,27,Maharashtra,32,Ratnagiri
2443,Kondagaon,N.P.,9,Uttar Pradesh,23,Kheri
2444,Kondalampatti,M,8,Rajasthan,6,Alwar
2445,Kondli,C.T.,8,Rajasthan,31,Baran
2446,Kondumal,C.T.,8,Rajasthan,26,Udaipur
2447,Konganapuram,N.P.,9,Uttar Pradesh,64,Jaunpur
2448,Konnagar,N.P.,23,Madhya Pradesh,28,Barwani
2449,Konnur,M,8,Rajasthan,5,Jhunjhunun
2450,Kooraikundu,N.P.,23,Madhya Pradesh,30,Rajgarh
2451,Koothappar,N.P.,23,Madhya Pradesh,36,Harda
2452,Koothuparamba,C.T.,19,West Bengal,7,Murshidabad 
2453,Kopaganj,C.T.,22,Chhattisgarh,1,Koriya
2454,Kopargaon,C.T.,14,Manipur,7,Imphal East
2455,Kopharad,C.T.,27,Maharashtra,21,Thane
2456,Koppa,C.T.,12,Arunachal Pradesh,13,Tirap
2457,Koppal,M.Cl.,27,Maharashtra,24,Raigarh
2458,Kora Jahanabad,N.A.C.,21,Orissa,17,Khordha
2459,Koradacheri,N.A.C.,1,Jammu & Kashmir,13,Jammu
2460,Koraon,N.P.,16,Tripura,1,West Tripura 
2461,Koraput,N.A.C.,1,Jammu & Kashmir,5,Pulwama
2462,Koratagere,N.P.,9,Uttar Pradesh,22,Shahjahanpur
2463,Koratla,N.P.,23,Madhya Pradesh,30,Rajgarh
2464,Koratty,M.Cl.,27,Maharashtra,19,Aurangabad
2465,Korba,N.A.,20,Jharkhand,14,Ranchi
2466,Korochi,M,23,Madhya Pradesh,11,Sagar
2467,Korwa,M.B.,9,Uttar Pradesh,11,Bulandshahr 
2468,Kosamba,N.A.,10,Bihar,28,Patna
2469,Kosi Kalan,N.P.,9,Uttar Pradesh,22,Shahjahanpur
2470,Kot Fatta,M.B.,5,Uttaranchal,12,Udham Singh Nagar
2471,Kot Kapura,T.P.,33,Tamil Nadu,10,Erode
2472,Kota,T.P.,33,Tamil Nadu,30,Kanniyakumari
2473,Kotagiri,T.P.,33,Tamil Nadu,11,The Nilgiris
2474,Kotar,T.P.,33,Tamil Nadu,30,Kanniyakumari
2475,Kotdwara,T.P.,33,Tamil Nadu,18,Cuddalore
2476,Kotekara,T.P.,33,Tamil Nadu,6,Tiruvanamalai
2477,Kothagudem,T.P.,33,Tamil Nadu,19,Nagapattinam
2478,Kothamangalam,T.P.,33,Tamil Nadu,12,Coimbatore
2479,Kothavalasa,M.Cl.,27,Maharashtra,15,Nanded
2480,Kothi,M,22,Chhattisgarh,16,Dantewada
2481,Kothinallur,C.T.,8,Rajasthan,21,Ajmer
2482,Kothnur,N.P.,9,Uttar Pradesh,15,Agra
2483,Kotkhai,C.T.,7,Delhi *,1,North West
2484,Kotma,M.B.,9,Uttar Pradesh,3,Bijnor
2485,Kotpad,C.T.,20,Jharkhand,17,Pashchimi Singhbhum
2486,Kotputli,C.B.,27,Maharashtra,25,Pune
2487,Kotra,N.P.,5,Uttaranchal,4,Tehri Garhwal
2488,Kottaiyur,M,10,Bihar,8,Kishanganj
2489,Kottakuppam,C.T.,8,Rajasthan,6,Alwar
2490,Kottaram,M,8,Rajasthan,21,Ajmer
2491,Kottayam,M,8,Rajasthan,12,Jaipur
2492,Kottayam-Malabar,N.P.,9,Uttar Pradesh,18,Mainpuri
2493,Kottivakkam,N.A.C.,1,Jammu & Kashmir,9,Doda
2494,Kottur,N.P.,9,Uttar Pradesh,42,Fatehpur
2495,Kotturu,N.P.,9,Uttar Pradesh,7,Meerut
2496,Kottuvally,N.A.,10,Bihar,32,Rohtas
2497,Kotwa,M,19,West Bengal,3,Koch Bihar 
2498,Kouthanallur,M.Corp.,32,Kerala,8,Ernakulam
2499,Kovilpatti,N.A.C.,21,Orissa,3,Sambalpur
2500,Kovurpalle,C.T.,18,Assam,6,Kamrup
2501,Kovvur,M,33,Tamil Nadu,13,Dindigul
2502,Kozhikode,N.A.C.,21,Orissa,19,Ganjam
2503,Krishnagiri,C.T.,19,West Bengal,12,Hugli 
2504,Krishnanagar,N.A.,20,Jharkhand,5,Kodarma
2505,Krishnapur,T.P.,33,Tamil Nadu,20,Thiruvarur
2506,Krishnarajanagar,C.T.,29,Karnataka,20,Bangalore
2507,Krishnarajapura,M,24,Gujarat,12,Junagadh
2508,Krishnarajasagara,C.T.,29,Karnataka,11,Haveri
2509,Krishnarajpet,C.T.,27,Maharashtra,31,Satara
2510,Krishnarayapuram,T.P.,33,Tamil Nadu,10,Erode
2511,Krishnasamudram,M,32,Kerala,7,Thrissur
2512,Kshidirpur,N.P.,9,Uttar Pradesh,49,Sultanpur
2513,Kshirpai,T.C.,13,Nagaland,7,Kohima
2514,Kuchaman City,N.A.,10,Bihar,29,Bhojpur
2515,Kuchanur,C.T.,32,Kerala,11,Alappuzha
2516,Kuchera,M.B.,18,Assam,1,Kokrajhar
2517,Kud,M,33,Tamil Nadu,30,Kanniyakumari
2518,Kudal,C.T.,19,West Bengal,15,Medinipur 
2519,Kudchi,T.P.,33,Tamil Nadu,10,Erode
2520,Kudligi,C.M.C,29,Karnataka,19,Kolar
2521,Kudlu,N.P.,23,Madhya Pradesh,6,Shivpuri
2522,Kudremukh,C.T.,15,Mizoram,2,Kolasib
2523,Kuhalur,T.P.,33,Tamil Nadu,10,Erode
2524,Kuju,T.P.,33,Tamil Nadu,8,Salem
2525,Kukatpalle,C.T.,32,Kerala,7,Thrissur
2526,Kukernag,M.Corp.,27,Maharashtra,34,Kolhapur
2527,Kukshi, U.A. Part,19,West Bengal,17,Kolkata
2528,Kul Pahar,M.Corp.,32,Kerala,13,Kollam
2529,Kulasekarapuram,T.P.,33,Tamil Nadu,30,Kanniyakumari
2530,Kulgam,T.P.,33,Tamil Nadu,10,Erode
2531,Kulihanda,T.M.C,29,Karnataka,27,Chamarajanagar
2532,Kulithalai,C.T.,8,Rajasthan,32,Jhalawar
2533,Kullu,C.T.,32,Kerala,11,Alappuzha
2534,Kulti,T.P.,33,Tamil Nadu,12,Coimbatore
2535,Kumar Kaibarta Gaon,T.P.,33,Tamil Nadu,25,Theni
2536,Kumarapalayam,C.T.,27,Maharashtra,21,Thane
2537,Kumarapuram,C.T.,29,Karnataka,20,Bangalore
2538,Kumarghat,C.T.,19,West Bengal,9,Barddhaman 
2539,Kumbakonam,N.A.C.,21,Orissa,18,Puri
2540,Kumbhkot,C.T.,33,Tamil Nadu,4,Vellore
2541,Kumbhraj,M.B.,9,Uttar Pradesh,35,Jalaun 
2542,Kumbi,M,22,Chhattisgarh,15,Bastar
2543,Kumhari,C.T.,33,Tamil Nadu,8,Salem
2544,Kumher,C.T.,7,Delhi *,4,East
2545,Kumta,C.T.,27,Maharashtra,13,Chandrapur
2546,Kunda,T.P.,33,Tamil Nadu,8,Salem
2547,Kundalwadi,M,19,West Bengal,12,Hugli 
2548,Kundapura,T.P.,29,Karnataka,1,Belgaum
2549,Kundarki,T.P.,33,Tamil Nadu,26,Virudhunagar
2550,Kundgol,T.P.,33,Tamil Nadu,15,Tiruchirappalli
2551,Kundrathur,M,32,Kerala,2,Kannur
2552,Kunigal,N.P.,9,Uttar Pradesh,62,Mau
2553,Kuniyamuthur,M.Cl.,27,Maharashtra,26,Ahmadnagar
2554,Kunjaban,C.T.,27,Maharashtra,21,Thane
2555,Kunnamkulam,T.P.,29,Karnataka,17,Chikmagalur
2556,Kunnathur,T.M.C,29,Karnataka,7,Koppal
2557,Kunustara,N.P.,9,Uttar Pradesh,42,Fatehpur
2558,Kunwargaon,T.P.,33,Tamil Nadu,20,Thiruvarur
2559,Kunzer,N.P.,9,Uttar Pradesh,45,Allahabad 
2560,Kuppam,N.A.C.,21,Orissa,29,Koraput
2561,Kupwara,T.P.,29,Karnataka,18,Tumkur
2562,Kurali,M,28,Andhra Pradesh,3,Karimnagar
2563,Kuraoli,C.T.,32,Kerala,7,Thrissur
2564,Kurara,M.Corp.,22,Chhattisgarh,5,Korba
2565,Kurduvadi,C.T.,27,Maharashtra,34,Kolhapur
2566,Kureekkad,C.T.,9,Uttar Pradesh,49,Sultanpur
2567,Kurgunta,C.T.,24,Gujarat,22,Surat
2568,Kurichi,M.B.,9,Uttar Pradesh,14,Mathura
2569,Kurinjipadi,M.Cl.,3,Punjab,14,Bathinda
2570,Kurnool,M.Cl.,3,Punjab,13,Faridkot
2571,Kurpania,N.P.,22,Chhattisgarh,7,Bilaspur
2572,Kursath,M.Corp.,8,Rajasthan,30,Kota
2573,Kurseong,C.T.,9,Uttar Pradesh,70,Sonbhadra
2574,Kurthi Jafarpur,T.P.,33,Tamil Nadu,11,The Nilgiris
2575,Kurud,N.P.,23,Madhya Pradesh,13,Satna
2576,Kurudampalayam,M.B,5,Uttaranchal,6,Garhwal
2577,Kurumbalur,C.T.,29,Karnataka,24,Dakshina Kannada
2578,Kurumbapet,M,28,Andhra Pradesh,10,Khammam
2579,Kurundvad,M,32,Kerala,8,Ernakulam
2580,Kurwai,C.T.,28,Andhra Pradesh,12,Vizianagaram
2581,Kusgaon Budruk,N.P.,23,Madhya Pradesh,13,Satna
2582,Kushalgarh,T.P.,33,Tamil Nadu,30,Kanniyakumari
2583,Kushalnagar,C.T.,29,Karnataka,20,Bangalore
2584,Kushinagar,N.P.,2,Himachal Pradesh,11,Shimla
2585,Kushtagi,M,23,Madhya Pradesh,16,Shahdol
2586,Kusmara,N.A.C.,21,Orissa,29,Koraput
2587,Kustai,M,8,Rajasthan,12,Jaipur
2588,Kuthalam,N.P.,9,Uttar Pradesh,35,Jalaun 
2589,Kutiyana,T.P.,33,Tamil Nadu,23,Sivaganga
2590,Kuzhithurai,T.P.,33,Tamil Nadu,7,Viluppuram
2591,Kwakta,T.P.,33,Tamil Nadu,30,Kanniyakumari
2592,Kyathampalle,M,32,Kerala,10,Kottayam
2593,Kymore,C.T.,32,Kerala,2,Kannur
2594,L.B. Nagar,C.T.,33,Tamil Nadu,3,Kancheepuram
2595,Labbaikudikadu,T.P.,33,Tamil Nadu,12,Coimbatore
2596,Lachhmangarh,T.P.,29,Karnataka,12,Bellary
2597,Ladnu,C.T.,32,Kerala,8,Ernakulam
2598,Ladrawan,C.T.,9,Uttar Pradesh,67,Varanasi
2599,Ladwa,M,33,Tamil Nadu,20,Thiruvarur
2600,Lahar,M,33,Tamil Nadu,28,Toothukudi
2601,Laharpur,C.T.,28,Andhra Pradesh,19,Nellore
2602,Lakarka,N.P.,28,Andhra Pradesh,15,West Godavari
2603,Lakhenpur,M.Corp.,32,Kerala,4,Kozhikode
2604,Lakheri,M,33,Tamil Nadu,5,Dharmapuri
2605,Lakhimpur,M,19,West Bengal,10,Nadia 
2606,Lakhipur,C.T.,19,West Bengal,12,Hugli 
2607,Lakhisarai,T.M.C,29,Karnataka,26,Mysore
2608,Lakhna,C.M.C,29,Karnataka,20,Bangalore
2609,Lakhnadon,N.A.C,29,Karnataka,22,Mandya
2610,Lakkampatti,T.P.,29,Karnataka,22,Mandya
2611,Laksar,T.P.,33,Tamil Nadu,14,Kapur
2612,Lakshmeshwar,C.T.,33,Tamil Nadu,15,Tiruchirappalli
2613,Lal Gopalganj Nindaura,C.T.,19,West Bengal,10,Nadia 
2614,Lala,M,19,West Bengal,15,Medinipur 
2615,Lalganj,M,8,Rajasthan,14,Nagaur
2616,Lalgudi,T.P.,33,Tamil Nadu,25,Theni
2617,Lalitpur,M,8,Rajasthan,14,Nagaur
2618,Lalkuan,N.A.C.,1,Jammu & Kashmir,10,Udhampur
2619,Lalpet,C.T.,27,Maharashtra,33,Sindhudurg
2620,Lalsot,T.P.,29,Karnataka,1,Belgaum
2621,Lamai,T.P.,29,Karnataka,12,Bellary
2622,Lambha,C.T.,32,Kerala,1,Kasaragod
2623,Lamjaotongba,N.A.C,29,Karnataka,17,Chikmagalur
2624,Lamshang,T.P.,33,Tamil Nadu,10,Erode
2625,Landaura,C.T.,20,Jharkhand,4,Hazaribag
2626,Landour,M,28,Andhra Pradesh,6,Rangareddi
2627,Lanja,N.A.C.,1,Jammu & Kashmir,6,Anantnag
2628,Lanka,N.P.,23,Madhya Pradesh,25,Dhar
2629,Lansdowne,N.P.,9,Uttar Pradesh,39,Mahoba
2630,Lapanga,T.P.,33,Tamil Nadu,30,Kanniyakumari
2631,Lar,N.A.C.,1,Jammu & Kashmir,6,Anantnag
2632,Lasalgaon,C.T.,19,West Bengal,12,Hugli 
2633,Latehar,M,33,Tamil Nadu,14,Kapur
2634,Lateri,M.Cl.,2,Himachal Pradesh,4,Kullu
2635,Lathi,M,19,West Bengal,9,Barddhaman 
2636,Lattikata,C.T.,18,Assam,17,Jorhat
2637,Latur,M,33,Tamil Nadu,9,Namakkal
2638,Laundi,T.P.,33,Tamil Nadu,30,Kanniyakumari
2639,Lauthaha,N.P.,16,Tripura,4,North Tripura 
2640,Lawar NP,M,33,Tamil Nadu,21,Thanjavur
2641,Ledwa Mahua,C.T.,8,Rajasthan,30,Kota
2642,Leh,N.P.,23,Madhya Pradesh,7,Guna
2643,Lehragaga,N.P.,14,Manipur,4,Bishnupur
2644,Lengpui,N.P.,22,Chhattisgarh,10,Durg
2645,Libas Pur,M,8,Rajasthan,7,Bharatpur
2646,Lidhorakhas,T.M.C,29,Karnataka,10,Uttara Kannada
2647,Lido Tikok,N.P.,9,Uttar Pradesh,43,Pratapgarh
2648,Lido Town,M.Cl.,27,Maharashtra,15,Nanded
2649,Lilong (Imphal West),T.M.C,29,Karnataka,16,Udupi
2650,Lilong (Thoubal),N.P.,9,Uttar Pradesh,4,Moradabad
2651,Limbdi,T.P.,29,Karnataka,9,Dharwad
2652,Limla,T.P,33,Tamil Nadu,3,Kancheepuram
2653,Lingiyadih,T.M.C,29,Karnataka,18,Tumkur
2654,Lingsugur,T.P.,33,Tamil Nadu,12,Coimbatore
2655,Llayangudi,C.T.,16,Tripura,1,West Tripura 
2656,Lodhian Khas,M,32,Kerala,7,Thrissur
2657,Lodhikheda,T.P.,33,Tamil Nadu,10,Erode
2658,Loha,C.T.,19,West Bengal,9,Barddhaman 
2659,Lohaghat,N.P.,9,Uttar Pradesh,19,Budaun
2660,Loharda,N.A.C.,1,Jammu & Kashmir,2,Baramula
2661,Lohardaga,C.T.,28,Andhra Pradesh,23,Chittoor
2662,Loharu,N.A.C.,1,Jammu & Kashmir,1,Kupwara
2663,Lohta,M.Cl.,3,Punjab,7,Rupnagar
2664,Lonar,N.P.,9,Uttar Pradesh,18,Mainpuri
2665,Lonavala,N.P.,9,Uttar Pradesh,38,Hamirpur
2666,Londa,M.Cl.,27,Maharashtra,30,Solapur
2667,Longowal,C.T.,32,Kerala,8,Ernakulam
2668,Loni,C.T.,29,Karnataka,4,Gulbarga
2669,Lormi,T.P.,33,Tamil Nadu,12,Coimbatore
2670,Losal,T.P.,33,Tamil Nadu,18,Cuddalore
2671,Loyabad,M.Corp.,28,Andhra Pradesh,21,Kurnool
2672,Lucknow,C.T.,20,Jharkhand,13,Bokaro
2673,Ludhiana,N.P.,9,Uttar Pradesh,25,Hardoi
2674,Lumding,N.P.,9,Uttar Pradesh,26,Unnao
2675,Lumding Rly Colony,M,19,West Bengal,1,Darjiling 
2676,Lunawada,C.T.,9,Uttar Pradesh,62,Mau
2677,Lunglei,N.P.,22,Chhattisgarh,13,Dhamtari
2678,Machalpur,C.T.,33,Tamil Nadu,12,Coimbatore
2679,Macherla,T.P.,33,Tamil Nadu,16,Perambalur
2680,Machhiwara,G.P.,34,Pondicherry *,2,Pondicherry
2681,Machhlishahr,M.Cl.,27,Maharashtra,34,Kolhapur
2682,Machilipatnam,N.P.,23,Madhya Pradesh,31,Vidisha
2683,Madambakkam,C.T.,27,Maharashtra,25,Pune
2684,Madanapalle,M,8,Rajasthan,28,Banswara
2685,Madanpur,C.T.,29,Karnataka,25,Kodagu
2686,Madanrting,N.P.,9,Uttar Pradesh,59,Kushinagar
2687,Madaram,T.P.,29,Karnataka,7,Koppal
2688,Madathukulam,N.P.,9,Uttar Pradesh,18,Mainpuri
2689,Madavaram,C.T.,20,Jharkhand,12,Dhanbad
2690,Maddur,T.P.,33,Tamil Nadu,19,Nagapattinam
2691,Madhavnagar,M,24,Gujarat,11,Porbandar
2692,Madhepura,M,33,Tamil Nadu,30,Kanniyakumari
2693,Madhoganj,N.P.,14,Manipur,4,Bishnupur
2694,Madhogarh,C.T.,28,Andhra Pradesh,1,Adilabad
2695,Madhubani,N.P.,23,Madhya Pradesh,38,Katni
2696,Madhugiri,M,28,Andhra Pradesh,6,Rangareddi
2697,Madhupur,T.P.,33,Tamil Nadu,16,Perambalur
2698,Madhusudanpur,M,8,Rajasthan,13,Sikar
2699,Madhyamgram,M,8,Rajasthan,14,Nagaur
2700,Madikeri,C.T.,6,Haryana,15,Jhajjar
2701,Madippakkam,M.C.,6,Haryana,4,Kurukshetra
2702,Madukkarai,N.P.,23,Madhya Pradesh,3,Bhind
2703,Madukkur,M.B.,9,Uttar Pradesh,24,Sitapur
2704,Madurai,C.T.,20,Jharkhand,12,Dhanbad
2705,Maduranthakam,N.A.C.,1,Jammu & Kashmir,14,Kathua
2706,Maduravoyal,M,8,Rajasthan,23,Bundi
2707,Magadi,M.B.,9,Uttar Pradesh,23,Kheri
2708,Magam,T.C.,18,Assam,3,Goalpara
2709,Maghar,T.C.,18,Assam,21,Cachar
2710,Mahabaleshwar,M,10,Bihar,25,Lakhisarai
2711,Mahaban,N.P.,9,Uttar Pradesh,31,Etawah
2712,Mahad,N.P.,23,Madhya Pradesh,44,Seoni
2713,Mahadevapura,T.P.,33,Tamil Nadu,10,Erode
2714,Mahadula,N.P.,5,Uttaranchal,13,Hardwar
2715,Mahalingpur,T.M.C,29,Karnataka,8,Gadag
2716,Maham,N.P.,9,Uttar Pradesh,45,Allahabad 
2717,Maharajganj,T.C.,18,Assam,23,Hailakandi
2718,Maharajpur,M,10,Bihar,18,Vaishali
2719,Mahasamund,N.P.,9,Uttar Pradesh,28,Rae Bareli
2720,Mahbubnagar,T.P.,33,Tamil Nadu,15,Tiruchirappalli
2721,Mahe,M.B.,9,Uttar Pradesh,37,Lalitpur
2722,Mahemdavad,N.P.,5,Uttaranchal,11,Nainital
2723,Mahendragarh,T.P.,33,Tamil Nadu,18,Cuddalore
2724,Mahesana,M,8,Rajasthan,11,Dausa
2725,Maheshtala,N.P.,14,Manipur,7,Imphal East
2726,Maheshwar,C.T.,24,Gujarat,7,Ahmadabad
2727,Mahiari,C.T.,14,Manipur,6,Imphal West
2728,Mahidpur,N.P.,14,Manipur,6,Imphal West
2729,Mahilpur,N.P.,5,Uttaranchal,13,Hardwar
2730,Mahira,C.B.,5,Uttaranchal,5,Dehradun
2731,Mahmudabad,C.T.,27,Maharashtra,32,Ratnagiri
2732,Mahnar Bazar,T.C.,18,Assam,10,Nagaon
2733,Mahoba,C.B.,5,Uttaranchal,6,Garhwal
2734,Maholi,C.T.,20,Jharkhand,4,Hazaribag
2735,Mahona,N.P.,9,Uttar Pradesh,60,Deoria
2736,Mahrajganj,C.T.,27,Maharashtra,20,Nashik
2737,Mahroni,N.A.,20,Jharkhand,2,Palamu
2738,Mahu Kalan,N.P.,23,Madhya Pradesh,31,Vidisha
2739,Mahua Dabra Haripura,M,24,Gujarat,13,Amreli
2740,Mahua Kheraganj,C.T.,21,Orissa,5,Sundargarh
2741,Mahudha,M.Cl.,27,Maharashtra,28,Latur
2742,Mahur,N.P.,23,Madhya Pradesh,9,Chhatarpur
2743,Mahuva,N.A.,10,Bihar,2,Purba Champaran
2744,Mahuvar,N.P.,9,Uttar Pradesh,7,Meerut
2745,Mahwa,C.T.,9,Uttar Pradesh,56,Sant Kabir Nagar
2746,Maibong,N.A.C.,1,Jammu & Kashmir,7,Leh (Ladakh)
2747,Maihar,M.Cl.,3,Punjab,16,Sangrur
2748,Mailani,C.T.,15,Mizoram,1,Mamit
2749,Mainaguri,C.T.,7,Delhi *,1,North West
2750,Maindargi,N.P.,23,Madhya Pradesh,8,Tikamgarh
2751,Mainpuri,C.T.,18,Assam,14,Tinsukia
2752,Mairang,C.T.,18,Assam,14,Tinsukia
2753,Mairwa,N.P.,14,Manipur,6,Imphal West
2754,Maithon,N.P.,14,Manipur,5 & 7,Thoubal & Imphal West
2755,Majgaon,M,24,Gujarat,8,Surendranagar
2756,Majhara Pipar Ehatmali,C.T.,24,Gujarat,22,Surat
2757,Majhauli Raj,C.T.,22,Chhattisgarh,7,Bilaspur
2758,Majholi,T.P.,29,Karnataka,6,Raichur
2759,Majitha,T.P.,33,Tamil Nadu,23,Sivaganga
2760,Makarba,N.P.,3,Punjab,4,Jalandhar
2761,Makardaha,N.P.,23,Madhya Pradesh,43,Chhindwara
2762,Makhdumpur,M.Cl.,27,Maharashtra,15,Nanded
2763,Makhu,N.P.,5,Uttaranchal,10,Champawat
2764,Makrana,N.P.,23,Madhya Pradesh,23,Dewas
2765,Makronia,M,20,Jharkhand,15,Lohardaga
2766,Maksi,M.C.,6,Haryana,13,Bhiwani
2767,Maktampur,C.T.,9,Uttar Pradesh,67,Varanasi
2768,Makum,M.Cl.,27,Maharashtra,4,Buldana
2769,Makundapur,M.Cl.,27,Maharashtra,25,Pune
2770,Mal,C.T.,29,Karnataka,1,Belgaum
2771,Malaj Khand,M.Cl.,3,Punjab,16,Sangrur
2772,Malappuram,N.P.,9,Uttar Pradesh,9,Ghaziabad
2773,Malavalli,N.P.,22,Chhattisgarh,7,Bilaspur
2774,Malegaon,M,8,Rajasthan,13,Sikar
2775,Malerkotla,C.T.,20,Jharkhand,12,Dhanbad
2776,Malhargarh,M.Corp.,9,Uttar Pradesh,27,Lucknow
2777,Malihabad,C.B.,9,Uttar Pradesh,27,Lucknow
2778,Malkajgiri,M.Corp.,3,Punjab,9,Ludhiana
2779,Malkangiri,M.B.,18,Assam,10,Nagaon
2780,Malkapur,C.T.,18,Assam,10,Nagaon
2781,Malkera,M,24,Gujarat,17,Panch Mahals
2782,Mallamooppampatti,C.T.,15,Mizoram,6,Lunglei
2783,Mallankinaru,N.P.,23,Madhya Pradesh,30,Rajgarh
2784,Mallar,M,28,Andhra Pradesh,17,Guntur
2785,Mallasamudram,N.P.,3,Punjab,9,Ludhiana
2786,Mallawan,N.P.,9,Uttar Pradesh,64,Jaunpur
2787,Mallur,M,28,Andhra Pradesh,16,Krishna
2788,Maloud,T.P.,33,Tamil Nadu,3,Kancheepuram
2789,Malout,M,28,Andhra Pradesh,23,Chittoor
2790,Malpur,C.T.,19,West Bengal,10,Nadia 
2791,Malpura,C.T.,17,Meghalaya,6,East Khasi Hills
2792,Malur,C.T.,28,Andhra Pradesh,1,Adilabad
2793,Malwan,T.P.,33,Tamil Nadu,12,Coimbatore
2794,Mamallapuram,M,33,Tamil Nadu,1,Thiruvallur
2795,Mamit,T.M.C,29,Karnataka,22,Mandya
2796,Mamsapuram,C.T.,27,Maharashtra,35,Sangli
2797,Manachanallur,M,10,Bihar,11,Madhepura
2798,Manadur,N.P.,9,Uttar Pradesh,25,Hardoi
2799,Manali,N.P.,9,Uttar Pradesh,35,Jalaun 
2800,Manalmedu,M,10,Bihar,5,Madhubani
2801,Manalurpet,T.M.C,29,Karnataka,18,Tumkur
2802,Manamadurai,M,20,Jharkhand,7,Deoghar
2803,Manapakkam,C.T.,19,West Bengal,12,Hugli 
2804,Manapparai,M,19,West Bengal,11,North Twentyfour Parganas
2805,Manasa,T.M.C,29,Karnataka,25,Kodagu
2806,Manavadar,C.T.,33,Tamil Nadu,3,Kancheepuram
2807,Manavalakurichi,T.P.,33,Tamil Nadu,12,Coimbatore
2808,Manawar,T.P.,33,Tamil Nadu,21,Thanjavur
2809,Manchar,M.Corp.,33,Tamil Nadu,24,Madurai
2810,Mancherial,M,33,Tamil Nadu,3,Kancheepuram
2811,Mandaikadu,T.P,33,Tamil Nadu,1,Thiruvallur
2812,Mandalgarh,T.M.C,29,Karnataka,21,Bangalore Rural
2813,Mandamarri,N.A.C.,1,Jammu & Kashmir,4,Badgam
2814,Mandapam,N.P.,9,Uttar Pradesh,56,Sant Kabir Nagar
2815,Mandapeta,M.Cl.,27,Maharashtra,31,Satara
2816,Mandarbani,N.P.,9,Uttar Pradesh,14,Mathura
2817,Mandav,M.Cl.,27,Maharashtra,24,Raigarh
2818,Mandawa,C.M.C,29,Karnataka,20,Bangalore
2819,Mandawar,C.T.,27,Maharashtra,9,Nagpur
2820,Mandi,T.M.C,29,Karnataka,2,Bagalkot
2821,Mandi Dabwali,M.C.,6,Haryana,14,Rohtak
2822,Mandideep,N.A.,10,Bihar,16,Siwan
2823,Mandla,N.P.,23,Madhya Pradesh,9,Chhatarpur
2824,Mandleshwar,M,22,Chhattisgarh,12,Mahasamund
2825,Mandsaur,0,28,Andhra Pradesh,7,Mahbubnagar
2826,Mandvi,M,34,Pondicherry *,3,Mahe
2827,Mandya,M,24,Gujarat,16,Kheda
2828,Manegaon,M.C,6,Haryana,16,Mahendragarh
2829,Manendragarh,M,24,Gujarat,4,Mahesana
2830,Maner,M,19,West Bengal,18,South Twentyfour Parganas
2831,Mangadu,N.P.,23,Madhya Pradesh,27,West Nimar
2832,Mangalagiri,C.T.,19,West Bengal,16,Haora 
2833,Mangalam,M,23,Madhya Pradesh,21,Ujjain
2834,Mangalampet,N.P.,3,Punjab,5,Hoshiarpur
2835,Mangaldoi,C.T.,19,West Bengal,9,Barddhaman 
2836,Mangalore,M.B.,9,Uttar Pradesh,24,Sitapur
2837,Mangalvedhe,M,10,Bihar,18,Vaishali
